Id,SaleId,ProductId,Qty,UnitPrice,LineTotal,NabavnaCena,DataOrigin
72,24,88,1,5940.00,5940.00,3300.00,access
73,25,48,1,9180.00,9180.00,5100.00,access
74,25,65,2,6138.00,12276.00,3410.00,access
75,25,79,1,7326.00,7326.00,4070.00,access
76,26,55,2,7128.00,14256.00,3960.00,access
77,26,72,1,5940.00,5940.00,3300.00,access
78,26,86,1,7128.00,7128.00,3960.00,access
79,27,62,1,6912.00,6912.00,3840.00,access
80,27,79,1,7326.00,7326.00,4070.00,access
81,27,93,1,6930.00,6930.00,3850.00,access
82,28,53,1,10800.00,10800.00,6000.00,access
83,28,70,2,7128.00,14256.00,3960.00,access
84,28,84,1,6732.00,6732.00,3740.00,access
85,29,60,2,6480.00,12960.00,3600.00,access
86,29,77,1,6930.00,6930.00,3850.00,access
87,29,91,1,6534.00,6534.00,3630.00,access
88,30,67,1,6534.00,6534.00,3630.00,access
89,30,84,1,6732.00,6732.00,3740.00,access
90,30,98,1,6336.00,6336.00,3520.00,access
91,31,58,1,6912.00,6912.00,3840.00,access
92,31,75,2,6534.00,13068.00,3630.00,access
93,31,89,1,6138.00,6138.00,3410.00,access
94,32,65,2,6138.00,12276.00,3410.00,access
95,32,82,1,6336.00,6336.00,3520.00,access
96,32,96,1,5940.00,5940.00,3300.00,access
97,33,72,1,5940.00,5940.00,3300.00,access
98,33,89,1,6138.00,6138.00,3410.00,access
99,33,103,1,5580.00,5580.00,3100.00,access
100,34,63,1,7128.00,7128.00,3960.00,access
101,34,80,2,5940.00,11880.00,3300.00,access
102,34,94,1,7128.00,7128.00,3960.00,access
103,35,70,2,7128.00,14256.00,3960.00,access
104,35,87,1,7326.00,7326.00,4070.00,access
105,35,101,1,5220.00,5220.00,2900.00,access
106,36,77,1,6930.00,6930.00,3850.00,access
107,36,94,1,7128.00,7128.00,3960.00,access
108,36,108,1,5580.00,5580.00,3100.00,access
109,37,68,1,6732.00,6732.00,3740.00,access
110,37,85,2,6930.00,13860.00,3850.00,access
111,37,99,1,6534.00,6534.00,3630.00,access
112,38,75,2,6534.00,13068.00,3630.00,access
113,38,92,1,6732.00,6732.00,3740.00,access
114,38,106,1,5220.00,5220.00,2900.00,access
115,39,82,1,6336.00,6336.00,3520.00,access
116,39,99,1,6534.00,6534.00,3630.00,access
117,39,113,1,0.00,0.00,0.00,access
118,40,73,1,6138.00,6138.00,3410.00,access
119,40,90,2,6336.00,12672.00,3520.00,access
120,40,104,1,5760.00,5760.00,3200.00,access
121,41,80,2,5940.00,11880.00,3300.00,access
122,41,97,1,6138.00,6138.00,3410.00,access
123,41,111,1,0.00,0.00,0.00,access
124,42,87,1,7326.00,7326.00,4070.00,access
125,42,104,1,5760.00,5760.00,3200.00,access
126,42,118,1,0.00,0.00,0.00,access
127,43,78,1,7128.00,7128.00,3960.00,access
128,43,95,2,7326.00,14652.00,4070.00,access
129,43,109,1,5760.00,5760.00,3200.00,access
130,44,85,2,6930.00,13860.00,3850.00,access
131,44,102,1,5400.00,5400.00,3000.00,access
132,44,116,1,0.00,0.00,0.00,access
133,45,92,1,6732.00,6732.00,3740.00,access
134,45,109,1,5760.00,5760.00,3200.00,access
135,45,3,1,8370.00,8370.00,4650.00,access
136,46,83,1,6534.00,6534.00,3630.00,access
137,46,100,2,6732.00,13464.00,3740.00,access
138,46,114,1,0.00,0.00,0.00,access
139,47,90,2,6336.00,12672.00,3520.00,access
140,47,107,1,5400.00,5400.00,3000.00,access
141,47,1,1,7830.00,7830.00,4350.00,access
142,48,97,1,6138.00,6138.00,3410.00,access
143,48,114,1,0.00,0.00,0.00,access
144,48,8,1,8370.00,8370.00,4650.00,access
145,49,88,1,5940.00,5940.00,3300.00,access
146,49,105,2,5040.00,10080.00,2800.00,access
147,49,119,1,0.00,0.00,0.00,access
148,50,95,2,7326.00,14652.00,4070.00,access
149,50,112,1,0.00,0.00,0.00,access
150,50,6,1,7830.00,7830.00,4350.00,access
151,51,102,1,5400.00,5400.00,3000.00,access
152,51,119,1,0.00,0.00,0.00,access
153,51,13,1,8370.00,8370.00,4650.00,access
154,52,93,1,6930.00,6930.00,3850.00,access
155,52,110,2,5040.00,10080.00,2800.00,access
156,52,4,1,8640.00,8640.00,4800.00,access
157,53,100,2,6732.00,13464.00,3740.00,access
158,53,117,1,0.00,0.00,0.00,access
159,53,11,1,7830.00,7830.00,4350.00,access
160,54,107,1,5400.00,5400.00,3000.00,access
161,54,4,1,8640.00,8640.00,4800.00,access
162,54,18,1,7956.00,7956.00,4420.00,access
163,55,98,1,6336.00,6336.00,3520.00,access
164,55,115,2,0.00,0.00,0.00,access
165,55,9,1,8640.00,8640.00,4800.00,access
166,56,105,2,5040.00,10080.00,2800.00,access
167,56,2,1,8100.00,8100.00,4500.00,access
168,56,16,1,7488.00,7488.00,4160.00,access
169,57,112,1,0.00,0.00,0.00,access
170,57,9,1,8640.00,8640.00,4800.00,access
171,57,23,1,7488.00,7488.00,4160.00,access
172,58,103,1,5580.00,5580.00,3100.00,access
173,58,120,2,0.00,0.00,0.00,access
174,58,14,1,8640.00,8640.00,4800.00,access
175,59,110,2,5040.00,10080.00,2800.00,access
176,59,7,1,8100.00,8100.00,4500.00,access
177,59,21,1,7020.00,7020.00,3900.00,access
178,60,117,1,0.00,0.00,0.00,access
179,60,14,1,8640.00,8640.00,4800.00,access
180,60,28,1,0.00,0.00,3900.00,access
181,61,108,1,5580.00,5580.00,3100.00,access
182,61,5,2,7560.00,15120.00,4200.00,access
183,61,19,1,8190.00,8190.00,4550.00,access
184,62,115,2,0.00,0.00,0.00,access
185,62,12,1,8100.00,8100.00,4500.00,access
186,62,26,1,8190.00,8190.00,4550.00,access
187,63,2,1,8100.00,8100.00,4500.00,access
188,63,19,1,8190.00,8190.00,4550.00,access
189,63,33,1,8190.00,8190.00,4550.00,access
190,64,113,1,0.00,0.00,0.00,access
191,64,10,2,7560.00,15120.00,4200.00,access
192,64,24,1,7722.00,7722.00,4290.00,access
193,65,120,2,0.00,0.00,0.00,access
194,65,17,1,7722.00,7722.00,4290.00,access
195,65,31,1,7722.00,7722.00,4290.00,access
196,66,7,1,8100.00,8100.00,4500.00,access
197,66,24,1,7722.00,7722.00,4290.00,access
198,66,38,1,9828.00,9828.00,5460.00,access
199,67,118,1,0.00,0.00,0.00,access
200,67,15,2,7560.00,15120.00,4200.00,access
201,67,29,1,7254.00,7254.00,4030.00,access
202,68,5,2,7560.00,15120.00,4200.00,access
203,68,22,1,7254.00,7254.00,4030.00,access
204,68,36,1,9180.00,9180.00,5100.00,access
205,69,12,1,8100.00,8100.00,4500.00,access
206,69,29,1,7254.00,7254.00,4030.00,access
207,69,43,1,9504.00,9504.00,5280.00,access
208,70,3,1,8370.00,8370.00,4650.00,access
209,70,20,2,8424.00,16848.00,4680.00,access
210,70,34,1,8424.00,8424.00,4680.00,access
211,71,10,2,7560.00,15120.00,4200.00,access
212,71,27,1,8424.00,8424.00,4680.00,access
213,71,41,1,10800.00,10800.00,6000.00,access
214,72,17,1,7722.00,7722.00,4290.00,access
215,72,34,1,8424.00,8424.00,4680.00,access
216,72,48,1,9180.00,9180.00,5100.00,access
217,73,8,1,8370.00,8370.00,4650.00,access
218,73,25,2,7956.00,15912.00,4420.00,access
219,73,39,1,10152.00,10152.00,5640.00,access
220,74,15,2,7560.00,15120.00,4200.00,access
221,74,32,1,7956.00,7956.00,4420.00,access
222,74,46,1,10476.00,10476.00,5820.00,access
223,75,22,1,7254.00,7254.00,4030.00,access
224,75,39,1,10152.00,10152.00,5640.00,access
225,75,53,1,10800.00,10800.00,6000.00,access
226,76,13,1,8370.00,8370.00,4650.00,access
227,76,30,2,7488.00,14976.00,4160.00,access
228,76,44,1,9828.00,9828.00,5460.00,access
229,77,20,2,8424.00,16848.00,4680.00,access
230,77,37,1,9504.00,9504.00,5280.00,access
231,77,51,1,10152.00,10152.00,5640.00,access
232,78,27,1,8424.00,8424.00,4680.00,access
233,78,44,1,9828.00,9828.00,5460.00,access
234,78,58,1,6912.00,6912.00,3840.00,access
235,79,18,1,7956.00,7956.00,4420.00,access
236,79,35,2,7020.00,14040.00,3900.00,access
237,79,49,1,9504.00,9504.00,5280.00,access
238,80,25,2,7956.00,15912.00,4420.00,access
239,80,42,1,9180.00,9180.00,5100.00,access
240,80,56,1,6480.00,6480.00,3600.00,access
241,81,32,1,7956.00,7956.00,4420.00,access
242,81,49,1,9504.00,9504.00,5280.00,access
243,81,63,1,7128.00,7128.00,3960.00,access
244,82,23,1,7488.00,7488.00,4160.00,access
245,82,40,2,10476.00,20952.00,5820.00,access
246,82,54,1,6912.00,6912.00,3840.00,access
247,83,30,2,7488.00,14976.00,4160.00,access
248,83,47,1,10800.00,10800.00,6000.00,access
249,83,61,1,6696.00,6696.00,3720.00,access
250,84,37,1,9504.00,9504.00,5280.00,access
251,84,54,1,6912.00,6912.00,3840.00,access
252,84,68,1,6732.00,6732.00,3740.00,access
253,85,28,1,7020.00,7020.00,3900.00,access
254,85,45,2,10152.00,20304.00,5640.00,access
255,85,59,1,7128.00,7128.00,3960.00,access
256,86,35,2,7020.00,14040.00,3900.00,access
257,86,52,1,10476.00,10476.00,5820.00,access
258,86,66,1,6336.00,6336.00,3520.00,access
259,87,42,1,9180.00,9180.00,5100.00,access
260,87,59,1,7128.00,7128.00,3960.00,access
261,87,73,1,6138.00,6138.00,3410.00,access
262,88,33,1,8190.00,8190.00,4550.00,access
263,88,50,2,9828.00,19656.00,5460.00,access
264,88,64,1,5940.00,5940.00,3300.00,access
265,89,40,2,10476.00,20952.00,5820.00,access
266,89,57,1,6696.00,6696.00,3720.00,access
267,89,71,1,7326.00,7326.00,4070.00,access
268,90,47,1,10800.00,10800.00,6000.00,access
269,90,64,1,5940.00,5940.00,3300.00,access
270,90,78,1,7128.00,7128.00,3960.00,access
271,91,38,1,9828.00,9828.00,5460.00,access
272,91,55,2,7128.00,14256.00,3960.00,access
273,91,69,1,6930.00,6930.00,3850.00,access
274,92,45,2,10152.00,20304.00,5640.00,access
275,92,62,1,6912.00,6912.00,3840.00,access
276,92,76,1,6732.00,6732.00,3740.00,access
277,93,52,1,10476.00,10476.00,5820.00,access
278,93,69,1,6930.00,6930.00,3850.00,access
279,93,83,1,6534.00,6534.00,3630.00,access
280,94,43,1,9504.00,9504.00,5280.00,access
281,94,60,2,6480.00,12960.00,3600.00,access
282,94,74,1,6336.00,6336.00,3520.00,access
283,95,50,2,9828.00,19656.00,5460.00,access
284,95,67,1,6534.00,6534.00,3630.00,access
285,95,81,1,6138.00,6138.00,3410.00,access
286,96,57,1,6696.00,6696.00,3720.00,access
287,96,74,1,6336.00,6336.00,3520.00,access
288,96,88,1,5940.00,5940.00,3300.00,access
289,97,48,1,9180.00,9180.00,5100.00,access
290,97,65,2,6138.00,12276.00,3410.00,access
291,97,79,1,7326.00,7326.00,4070.00,access
292,98,55,2,7128.00,14256.00,3960.00,access
293,98,72,1,5940.00,5940.00,3300.00,access
294,98,86,1,7128.00,7128.00,3960.00,access
295,99,62,1,6912.00,6912.00,3840.00,access
296,99,79,1,7326.00,7326.00,4070.00,access
297,99,93,1,6930.00,6930.00,3850.00,access
298,100,53,1,10800.00,10800.00,6000.00,access
299,100,70,2,7128.00,14256.00,3960.00,access
300,100,84,1,6732.00,6732.00,3740.00,access
301,101,60,2,6480.00,12960.00,3600.00,access
302,101,77,1,6930.00,6930.00,3850.00,access
303,101,91,1,6534.00,6534.00,3630.00,access
304,102,67,1,6534.00,6534.00,3630.00,access
305,102,84,1,6732.00,6732.00,3740.00,access
306,102,98,1,6336.00,6336.00,3520.00,access
307,103,58,1,6912.00,6912.00,3840.00,access
308,103,75,2,6534.00,13068.00,3630.00,access
309,103,89,1,6138.00,6138.00,3410.00,access
310,104,65,2,6138.00,12276.00,3410.00,access
311,104,82,1,6336.00,6336.00,3520.00,access
312,104,96,1,5940.00,5940.00,3300.00,access
313,105,72,1,5940.00,5940.00,3300.00,access
314,105,89,1,6138.00,6138.00,3410.00,access
315,105,103,1,5580.00,5580.00,3100.00,access
316,106,63,1,7128.00,7128.00,3960.00,access
317,106,80,2,5940.00,11880.00,3300.00,access
318,106,94,1,7128.00,7128.00,3960.00,access
319,107,70,2,7128.00,14256.00,3960.00,access
320,107,87,1,7326.00,7326.00,4070.00,access
321,107,101,1,5220.00,5220.00,2900.00,access
322,108,77,1,6930.00,6930.00,3850.00,access
323,108,94,1,7128.00,7128.00,3960.00,access
324,108,108,1,5580.00,5580.00,3100.00,access
325,109,68,1,6732.00,6732.00,3740.00,access
326,109,85,2,6930.00,13860.00,3850.00,access
327,109,99,1,6534.00,6534.00,3630.00,access
328,110,75,2,6534.00,13068.00,3630.00,access
329,110,92,1,6732.00,6732.00,3740.00,access
330,110,106,1,5220.00,5220.00,2900.00,access
331,111,82,1,6336.00,6336.00,3520.00,access
332,111,99,1,6534.00,6534.00,3630.00,access
333,111,113,1,0.00,0.00,0.00,access
334,112,73,1,6138.00,6138.00,3410.00,access
335,112,90,2,6336.00,12672.00,3520.00,access
336,112,104,1,5760.00,5760.00,3200.00,access
337,113,80,2,5940.00,11880.00,3300.00,access
338,113,97,1,6138.00,6138.00,3410.00,access
339,113,111,1,0.00,0.00,0.00,access
340,114,87,1,7326.00,7326.00,4070.00,access
341,114,104,1,5760.00,5760.00,3200.00,access
342,114,118,1,0.00,0.00,0.00,access
343,115,78,1,7128.00,7128.00,3960.00,access
344,115,95,2,7326.00,14652.00,4070.00,access
345,115,109,1,5760.00,5760.00,3200.00,access
346,116,85,2,6930.00,13860.00,3850.00,access
347,116,102,1,5400.00,5400.00,3000.00,access
348,116,116,1,0.00,0.00,0.00,access
349,117,92,1,6732.00,6732.00,3740.00,access
350,117,109,1,5760.00,5760.00,3200.00,access
351,117,3,1,8370.00,8370.00,4650.00,access
352,118,83,1,6534.00,6534.00,3630.00,access
353,118,100,2,6732.00,13464.00,3740.00,access
354,118,114,1,0.00,0.00,0.00,access
355,119,90,2,6336.00,12672.00,3520.00,access
356,119,107,1,5400.00,5400.00,3000.00,access
357,119,1,1,7830.00,7830.00,4350.00,access
358,120,97,1,6138.00,6138.00,3410.00,access
359,120,114,1,0.00,0.00,0.00,access
360,120,8,1,0.00,0.00,4650.00,access
361,121,88,1,5940.00,5940.00,3300.00,access
362,121,105,2,5040.00,10080.00,2800.00,access
363,121,119,1,0.00,0.00,0.00,access
364,122,95,2,7326.00,14652.00,4070.00,access
365,122,112,1,0.00,0.00,0.00,access
366,122,6,1,7830.00,7830.00,4350.00,access
367,123,102,1,5400.00,5400.00,3000.00,access
368,123,119,1,0.00,0.00,0.00,access
369,123,13,1,8370.00,8370.00,4650.00,access
370,124,93,1,6930.00,6930.00,3850.00,access
371,124,110,2,5040.00,10080.00,2800.00,access
372,124,4,1,8640.00,8640.00,4800.00,access
373,125,100,2,6732.00,13464.00,3740.00,access
374,125,117,1,0.00,0.00,0.00,access
375,125,11,1,7830.00,7830.00,4350.00,access
376,126,107,1,5400.00,5400.00,3000.00,access
377,126,4,1,8640.00,8640.00,4800.00,access
378,126,18,1,7956.00,7956.00,4420.00,access
379,127,98,1,6336.00,6336.00,3520.00,access
380,127,115,2,0.00,0.00,0.00,access
381,127,9,1,8640.00,8640.00,4800.00,access
382,128,105,2,5040.00,10080.00,2800.00,access
383,128,2,1,8100.00,8100.00,4500.00,access
384,128,16,1,7488.00,7488.00,4160.00,access
385,129,112,1,0.00,0.00,0.00,access
386,129,9,1,8640.00,8640.00,4800.00,access
387,129,23,1,7488.00,7488.00,4160.00,access
388,130,103,1,5580.00,5580.00,3100.00,access
389,130,120,2,0.00,0.00,0.00,access
390,130,14,1,8640.00,8640.00,4800.00,access
391,131,110,2,5040.00,10080.00,2800.00,access
392,131,7,1,8100.00,8100.00,4500.00,access
393,131,21,1,7020.00,7020.00,3900.00,access
394,132,117,1,0.00,0.00,0.00,access
395,132,14,1,8640.00,8640.00,4800.00,access
396,132,28,1,7020.00,7020.00,3900.00,access
397,133,108,1,5580.00,5580.00,3100.00,access
398,133,5,2,7560.00,15120.00,4200.00,access
399,133,19,1,8190.00,8190.00,4550.00,access
400,134,115,2,0.00,0.00,0.00,access
401,134,12,1,8100.00,8100.00,4500.00,access
402,134,26,1,8190.00,8190.00,4550.00,access
403,135,2,1,8100.00,8100.00,4500.00,access
404,135,19,1,8190.00,8190.00,4550.00,access
405,135,33,1,8190.00,8190.00,4550.00,access
406,136,113,1,0.00,0.00,0.00,access
407,136,10,2,7560.00,15120.00,4200.00,access
408,136,24,1,7722.00,7722.00,4290.00,access
409,137,120,2,0.00,0.00,0.00,access
410,137,17,1,7722.00,7722.00,4290.00,access
411,137,31,1,7722.00,7722.00,4290.00,access
412,138,7,1,8100.00,8100.00,4500.00,access
413,138,24,1,7722.00,7722.00,4290.00,access
414,138,38,1,9828.00,9828.00,5460.00,access
415,139,118,1,0.00,0.00,0.00,access
416,139,15,2,7560.00,15120.00,4200.00,access
417,139,29,1,7254.00,7254.00,4030.00,access
418,140,5,2,7560.00,15120.00,4200.00,access
419,140,22,1,7254.00,7254.00,4030.00,access
420,140,36,1,9180.00,9180.00,5100.00,access
421,141,12,1,8100.00,8100.00,4500.00,access
422,141,29,1,7254.00,7254.00,4030.00,access
423,141,43,1,9504.00,9504.00,5280.00,access
424,142,3,1,8370.00,8370.00,4650.00,access
425,142,20,2,8424.00,16848.00,4680.00,access
426,142,34,1,8424.00,8424.00,4680.00,access
427,143,10,2,7560.00,15120.00,4200.00,access
428,143,27,1,8424.00,8424.00,4680.00,access
429,143,41,1,10800.00,10800.00,6000.00,access
430,144,17,1,7722.00,7722.00,4290.00,access
431,144,34,1,8424.00,8424.00,4680.00,access
432,144,48,1,9180.00,9180.00,5100.00,access
433,145,8,1,8370.00,8370.00,4650.00,access
434,145,25,2,7956.00,15912.00,4420.00,access
435,145,39,1,10152.00,10152.00,5640.00,access
436,146,15,2,7560.00,15120.00,4200.00,access
437,146,32,1,7956.00,7956.00,4420.00,access
438,146,46,1,10476.00,10476.00,5820.00,access
439,147,22,1,7254.00,7254.00,4030.00,access
440,147,39,1,10152.00,10152.00,5640.00,access
441,147,53,1,10800.00,10800.00,6000.00,access
442,148,13,1,8370.00,8370.00,4650.00,access
443,148,30,2,7488.00,14976.00,4160.00,access
444,148,44,1,9828.00,9828.00,5460.00,access
445,149,20,2,8424.00,16848.00,4680.00,access
446,149,37,1,9504.00,9504.00,5280.00,access
447,149,51,1,10152.00,10152.00,5640.00,access
448,150,27,1,8424.00,8424.00,4680.00,access
449,150,44,1,9828.00,9828.00,5460.00,access
450,150,58,1,6912.00,6912.00,3840.00,access
451,151,18,1,7956.00,7956.00,4420.00,access
452,151,35,2,7020.00,14040.00,3900.00,access
453,151,49,1,9504.00,9504.00,5280.00,access
454,152,25,2,7956.00,15912.00,4420.00,access
455,152,42,1,9180.00,9180.00,5100.00,access
456,152,56,1,6480.00,6480.00,3600.00,access
457,153,32,1,7956.00,7956.00,4420.00,access
458,153,49,1,9504.00,9504.00,5280.00,access
459,153,63,1,7128.00,7128.00,3960.00,access
460,154,23,1,7488.00,7488.00,4160.00,access
461,154,40,2,10476.00,20952.00,5820.00,access
462,154,54,1,6912.00,6912.00,3840.00,access
463,155,30,2,7488.00,14976.00,4160.00,access
464,155,47,1,10800.00,10800.00,6000.00,access
465,155,61,1,6696.00,6696.00,3720.00,access
466,156,37,1,9504.00,9504.00,5280.00,access
467,156,54,1,6912.00,6912.00,3840.00,access
468,156,68,1,6732.00,6732.00,3740.00,access
469,157,28,1,7020.00,7020.00,3900.00,access
470,157,45,2,10152.00,20304.00,5640.00,access
471,157,59,1,7128.00,7128.00,3960.00,access
472,158,35,2,7020.00,14040.00,3900.00,access
473,158,52,1,10476.00,10476.00,5820.00,access
474,158,66,1,6336.00,6336.00,3520.00,access
475,159,42,1,9180.00,9180.00,5100.00,access
476,159,59,1,7128.00,7128.00,3960.00,access
477,159,73,1,6138.00,6138.00,3410.00,access
478,160,33,1,8190.00,8190.00,4550.00,access
479,160,50,2,9828.00,19656.00,5460.00,access
480,160,64,1,5940.00,5940.00,3300.00,access
481,161,40,2,10476.00,20952.00,5820.00,access
482,161,57,1,6696.00,6696.00,3720.00,access
483,161,71,1,7326.00,7326.00,4070.00,access
484,162,47,1,10800.00,10800.00,6000.00,access
485,162,64,1,5940.00,5940.00,3300.00,access
486,162,78,1,7128.00,7128.00,3960.00,access
487,163,38,1,9828.00,9828.00,5460.00,access
488,163,55,2,7128.00,14256.00,3960.00,access
489,163,69,1,6930.00,6930.00,3850.00,access
490,164,45,2,10152.00,20304.00,5640.00,access
491,164,62,1,6912.00,6912.00,3840.00,access
492,164,76,1,6732.00,6732.00,3740.00,access
493,165,52,1,10476.00,10476.00,5820.00,access
494,165,69,1,6930.00,6930.00,3850.00,access
495,165,83,1,6534.00,6534.00,3630.00,access
496,166,43,1,9504.00,9504.00,5280.00,access
497,166,60,2,6480.00,12960.00,3600.00,access
498,166,74,1,6336.00,6336.00,3520.00,access
499,167,50,2,9828.00,19656.00,5460.00,access
500,167,67,1,6534.00,6534.00,3630.00,access
501,167,81,1,6138.00,6138.00,3410.00,access
502,168,57,1,6696.00,6696.00,3720.00,access
503,168,74,1,6336.00,6336.00,3520.00,access
504,168,88,1,5940.00,5940.00,3300.00,access
505,169,48,1,9180.00,9180.00,5100.00,access
506,169,65,2,6138.00,12276.00,3410.00,access
507,169,79,1,7326.00,7326.00,4070.00,access
508,170,55,2,7128.00,14256.00,3960.00,access
509,170,72,1,5940.00,5940.00,3300.00,access
510,170,86,1,7128.00,7128.00,3960.00,access
511,171,62,1,6912.00,6912.00,3840.00,access
512,171,79,1,7326.00,7326.00,4070.00,access
513,171,93,1,6930.00,6930.00,3850.00,access
514,172,53,1,10800.00,10800.00,6000.00,access
515,172,70,2,7128.00,14256.00,3960.00,access
516,172,84,1,6732.00,6732.00,3740.00,access
517,173,60,2,6480.00,12960.00,3600.00,access
518,173,77,1,6930.00,6930.00,3850.00,access
519,173,91,1,6534.00,6534.00,3630.00,access
520,174,67,1,6534.00,6534.00,3630.00,access
521,174,84,1,6732.00,6732.00,3740.00,access
522,174,98,1,6336.00,6336.00,3520.00,access
523,175,58,1,6912.00,6912.00,3840.00,access
524,175,75,2,6534.00,13068.00,3630.00,access
525,175,89,1,6138.00,6138.00,3410.00,access
526,176,65,2,6138.00,12276.00,3410.00,access
527,176,82,1,6336.00,6336.00,3520.00,access
528,176,96,1,5940.00,5940.00,3300.00,access
529,177,72,1,5940.00,5940.00,3300.00,access
530,177,89,1,6138.00,6138.00,3410.00,access
531,177,103,1,5580.00,5580.00,3100.00,access
532,178,63,1,7128.00,7128.00,3960.00,access
533,178,80,2,5940.00,11880.00,3300.00,access
534,178,94,1,7128.00,7128.00,3960.00,access
535,179,70,2,7128.00,14256.00,3960.00,access
536,179,87,1,7326.00,7326.00,4070.00,access
537,179,101,1,5220.00,5220.00,2900.00,access
538,180,77,1,6930.00,6930.00,3850.00,access
539,180,94,1,7128.00,7128.00,3960.00,access
540,180,108,1,0.00,0.00,3100.00,access
541,181,68,1,6732.00,6732.00,3740.00,access
542,181,85,2,6930.00,13860.00,3850.00,access
543,181,99,1,6534.00,6534.00,3630.00,access
544,182,75,2,6534.00,13068.00,3630.00,access
545,182,92,1,6732.00,6732.00,3740.00,access
546,182,106,1,5220.00,5220.00,2900.00,access
547,183,82,1,6336.00,6336.00,3520.00,access
548,183,99,1,6534.00,6534.00,3630.00,access
549,183,113,1,0.00,0.00,0.00,access
550,184,73,1,6138.00,6138.00,3410.00,access
551,184,90,2,6336.00,12672.00,3520.00,access
552,184,104,1,5760.00,5760.00,3200.00,access
553,185,80,2,5940.00,11880.00,3300.00,access
554,185,97,1,6138.00,6138.00,3410.00,access
555,185,111,1,0.00,0.00,0.00,access
556,186,87,1,7326.00,7326.00,4070.00,access
557,186,104,1,5760.00,5760.00,3200.00,access
558,186,118,1,0.00,0.00,0.00,access
559,187,78,1,7128.00,7128.00,3960.00,access
560,187,95,2,7326.00,14652.00,4070.00,access
561,187,109,1,5760.00,5760.00,3200.00,access
