Id,SaleId,BrojRacuna,SaleTimestampUtc,StoreId,PaymentType,TotalAmount,TotalUnits,TotalLines,DataOrigin
37,37,R-20251218-1-00037,2025-12-18T09:13:00Z,1,card,27126.00,4,3,access
38,38,R-20251218-2-00038,2025-12-18T10:14:00Z,2,card,25020.00,4,3,access
39,39,R-20251218-3-00039,2025-12-18T11:15:00Z,3,card,12870.00,3,3,access
40,40,R-20251219-1-00040,2025-12-19T09:14:00Z,1,cash,24570.00,4,3,access
41,41,R-20251219-2-00041,2025-12-19T10:15:00Z,2,cash,18018.00,4,3,access
42,42,R-20251219-3-00042,2025-12-19T11:16:00Z,3,cash,13086.00,3,3,access
43,43,R-20251220-1-00043,2025-12-20T09:15:00Z,1,card,27540.00,4,3,access
44,44,R-20251220-2-00044,2025-12-20T10:16:00Z,2,card,19260.00,4,3,access
45,45,R-20251220-3-00045,2025-12-20T11:17:00Z,3,card,20862.00,3,3,access
46,46,R-20251221-1-00046,2025-12-21T09:16:00Z,1,cash,19998.00,4,3,access
47,47,R-20251221-2-00047,2025-12-21T10:17:00Z,2,cash,25902.00,4,3,access
48,48,R-20251221-3-00048,2025-12-21T11:18:00Z,3,cash,14508.00,3,3,access
49,49,R-20251222-1-00049,2025-12-22T09:17:00Z,1,card,16020.00,4,3,access
50,50,R-20251222-2-00050,2025-12-22T10:18:00Z,2,card,22482.00,4,3,access
51,51,R-20251222-3-00051,2025-12-22T11:19:00Z,3,card,13770.00,3,3,access
52,52,R-20251223-1-00052,2025-12-23T09:18:00Z,1,cash,25650.00,4,3,access
53,53,R-20251223-2-00053,2025-12-23T10:19:00Z,2,cash,21294.00,4,3,access
54,54,R-20251223-3-00054,2025-12-23T11:20:00Z,3,cash,21996.00,3,3,access
55,55,R-20251224-1-00055,2025-12-24T09:19:00Z,1,card,14976.00,4,3,access
56,56,R-20251224-2-00056,2025-12-24T10:20:00Z,2,card,25668.00,4,3,access
57,57,R-20251224-3-00057,2025-12-24T11:21:00Z,3,card,16128.00,3,3,access
58,58,R-20251225-1-00058,2025-12-25T09:20:00Z,1,cash,14220.00,4,3,access
59,59,R-20251225-2-00059,2025-12-25T10:21:00Z,2,cash,25200.00,4,3,access
60,60,R-20251225-3-00060,2025-12-25T11:22:00Z,3,cash,8640.00,3,3,access
61,61,R-20251226-1-00061,2025-12-26T09:21:00Z,1,card,28890.00,4,3,access
62,62,R-20251226-2-00062,2025-12-26T10:22:00Z,2,card,16290.00,4,3,access
63,63,R-20251226-3-00063,2025-12-26T11:23:00Z,3,card,24480.00,3,3,access
64,64,R-20251227-1-00064,2025-12-27T09:22:00Z,1,cash,22842.00,4,3,access
65,65,R-20251227-2-00065,2025-12-27T10:23:00Z,2,cash,15444.00,4,3,access
66,66,R-20251227-3-00066,2025-12-27T11:24:00Z,3,cash,25650.00,3,3,access
67,67,R-20251228-1-00067,2025-12-28T09:23:00Z,1,card,22374.00,4,3,access
68,68,R-20251228-2-00068,2025-12-28T10:24:00Z,2,card,31554.00,4,3,access
69,69,R-20251228-3-00069,2025-12-28T11:25:00Z,3,card,24858.00,3,3,access
70,70,R-20251229-1-00070,2025-12-29T09:24:00Z,1,cash,33642.00,4,3,access
71,71,R-20251229-2-00071,2025-12-29T10:25:00Z,2,cash,34344.00,4,3,access
72,72,R-20251229-3-00072,2025-12-29T11:26:00Z,3,cash,25326.00,3,3,access
73,73,R-20251230-1-00073,2025-12-30T09:25:00Z,1,card,34434.00,4,3,access
74,74,R-20251230-2-00074,2025-12-30T10:26:00Z,2,card,33552.00,4,3,access
75,75,R-20251230-3-00075,2025-12-30T11:27:00Z,3,card,28206.00,3,3,access
76,76,R-20251231-1-00076,2025-12-31T09:26:00Z,1,cash,33174.00,4,3,access
77,77,R-20251231-2-00077,2025-12-31T10:27:00Z,2,cash,36504.00,4,3,access
78,78,R-20251231-3-00078,2025-12-31T11:28:00Z,3,cash,25164.00,3,3,access
79,79,R-20260101-1-00079,2026-01-01T09:27:00Z,1,card,31500.00,4,3,access
80,80,R-20260101-2-00080,2026-01-01T10:28:00Z,2,card,31572.00,4,3,access
81,81,R-20260101-3-00081,2026-01-01T11:29:00Z,3,card,24588.00,3,3,access
82,82,R-20260102-1-00082,2026-01-02T09:28:00Z,1,cash,35352.00,4,3,access
83,83,R-20260102-2-00083,2026-01-02T10:29:00Z,2,cash,32472.00,4,3,access
84,84,R-20260102-3-00084,2026-01-02T11:30:00Z,3,cash,23148.00,3,3,access
85,85,R-20260103-1-00085,2026-01-03T09:29:00Z,1,card,34452.00,4,3,access
86,86,R-20260103-2-00086,2026-01-03T10:30:00Z,2,card,30852.00,4,3,access
87,87,R-20260103-3-00087,2026-01-03T11:31:00Z,3,card,22446.00,3,3,access
88,88,R-20260104-1-00088,2026-01-04T09:30:00Z,1,cash,33786.00,4,3,access
89,89,R-20260104-2-00089,2026-01-04T10:31:00Z,2,cash,34974.00,4,3,access
90,90,R-20260104-3-00090,2026-01-04T11:32:00Z,3,cash,23868.00,3,3,access
91,91,R-20260105-1-00091,2026-01-05T09:31:00Z,1,card,31014.00,4,3,access
92,92,R-20260105-2-00092,2026-01-05T10:32:00Z,2,card,33948.00,4,3,access
93,93,R-20260105-3-00093,2026-01-05T11:33:00Z,3,card,23940.00,3,3,access
94,94,R-20260106-1-00094,2026-01-06T09:32:00Z,1,cash,28800.00,4,3,access
95,95,R-20260106-2-00095,2026-01-06T10:33:00Z,2,cash,32328.00,4,3,access
96,96,R-20260106-3-00096,2026-01-06T11:34:00Z,3,cash,18972.00,3,3,access
97,97,R-20260107-1-00097,2026-01-07T09:33:00Z,1,card,28782.00,4,3,access
98,98,R-20260107-2-00098,2026-01-07T10:34:00Z,2,card,27324.00,4,3,access
99,99,R-20260107-3-00099,2026-01-07T11:35:00Z,3,card,21168.00,3,3,access
100,100,R-20260108-1-00100,2026-01-08T09:34:00Z,1,cash,31788.00,4,3,access
101,101,R-20260108-2-00101,2026-01-08T10:35:00Z,2,cash,26424.00,4,3,access
102,102,R-20260108-3-00102,2026-01-08T11:36:00Z,3,cash,19602.00,3,3,access
103,103,R-20260109-1-00103,2026-01-09T09:35:00Z,1,card,26118.00,4,3,access
104,104,R-20260109-2-00104,2026-01-09T10:36:00Z,2,card,24552.00,4,3,access
105,105,R-20260109-3-00105,2026-01-09T11:37:00Z,3,card,17658.00,3,3,access
106,106,R-20260110-1-00106,2026-01-10T09:36:00Z,1,cash,26136.00,4,3,access
107,107,R-20260110-2-00107,2026-01-10T10:37:00Z,2,cash,26802.00,4,3,access
108,108,R-20260110-3-00108,2026-01-10T11:38:00Z,3,cash,19638.00,3,3,access
109,109,R-20260111-1-00109,2026-01-11T09:37:00Z,1,card,27126.00,4,3,access
110,110,R-20260111-2-00110,2026-01-11T10:38:00Z,2,card,25020.00,4,3,access
111,111,R-20260111-3-00111,2026-01-11T11:39:00Z,3,card,12870.00,3,3,access
112,112,R-20260112-1-00112,2026-01-12T09:38:00Z,1,cash,24570.00,4,3,access
113,113,R-20260112-2-00113,2026-01-12T10:39:00Z,2,cash,18018.00,4,3,access
114,114,R-20260112-3-00114,2026-01-12T11:40:00Z,3,cash,13086.00,3,3,access
115,115,R-20260113-1-00115,2026-01-13T09:39:00Z,1,card,27540.00,4,3,access
116,116,R-20260113-2-00116,2026-01-13T10:40:00Z,2,card,19260.00,4,3,access
117,117,R-20260113-3-00117,2026-01-13T11:41:00Z,3,card,20862.00,3,3,access
118,118,R-20260114-1-00118,2026-01-14T09:40:00Z,1,cash,19998.00,4,3,access
119,119,R-20260114-2-00119,2026-01-14T10:41:00Z,2,cash,25902.00,4,3,access
120,120,R-20260114-3-00120,2026-01-14T11:42:00Z,3,cash,6138.00,3,3,access
121,121,R-20260115-1-00121,2026-01-15T09:41:00Z,1,card,16020.00,4,3,access
122,122,R-20260115-2-00122,2026-01-15T10:42:00Z,2,card,22482.00,4,3,access
123,123,R-20260115-3-00123,2026-01-15T11:43:00Z,3,card,13770.00,3,3,access
124,124,R-20260116-1-00124,2026-01-16T09:42:00Z,1,cash,25650.00,4,3,access
125,125,R-20260116-2-00125,2026-01-16T10:43:00Z,2,cash,21294.00,4,3,access
126,126,R-20260116-3-00126,2026-01-16T11:44:00Z,3,cash,21996.00,3,3,access
127,127,R-20260117-1-00127,2026-01-17T09:43:00Z,1,card,14976.00,4,3,access
128,128,R-20260117-2-00128,2026-01-17T10:44:00Z,2,card,25668.00,4,3,access
129,129,R-20260117-3-00129,2026-01-17T11:45:00Z,3,card,16128.00,3,3,access
130,130,R-20260118-1-00130,2026-01-18T09:44:00Z,1,cash,14220.00,4,3,access
131,131,R-20260118-2-00131,2026-01-18T10:45:00Z,2,cash,25200.00,4,3,access
132,132,R-20260118-3-00132,2026-01-18T11:46:00Z,3,cash,15660.00,3,3,access
133,133,R-20260119-1-00133,2026-01-19T09:45:00Z,1,card,28890.00,4,3,access
134,134,R-20260119-2-00134,2026-01-19T10:46:00Z,2,card,16290.00,4,3,access
135,135,R-20260119-3-00135,2026-01-19T11:47:00Z,3,card,24480.00,3,3,access
136,136,R-20260120-1-00136,2026-01-20T09:46:00Z,1,cash,22842.00,4,3,access
137,137,R-20260120-2-00137,2026-01-20T10:47:00Z,2,cash,15444.00,4,3,access
138,138,R-20260120-3-00138,2026-01-20T11:48:00Z,3,cash,25650.00,3,3,access
139,139,R-20260121-1-00139,2026-01-21T09:47:00Z,1,card,22374.00,4,3,access
140,140,R-20260121-2-00140,2026-01-21T10:48:00Z,2,card,31554.00,4,3,access
141,141,R-20260121-3-00141,2026-01-21T11:49:00Z,3,card,24858.00,3,3,access
142,142,R-20260122-1-00142,2026-01-22T09:48:00Z,1,cash,33642.00,4,3,access
143,143,R-20260122-2-00143,2026-01-22T10:49:00Z,2,cash,34344.00,4,3,access
144,144,R-20260122-3-00144,2026-01-22T11:00:00Z,3,cash,25326.00,3,3,access
145,145,R-20260123-1-00145,2026-01-23T09:49:00Z,1,card,34434.00,4,3,access
146,146,R-20260123-2-00146,2026-01-23T10:00:00Z,2,card,33552.00,4,3,access
147,147,R-20260123-3-00147,2026-01-23T11:01:00Z,3,card,28206.00,3,3,access
148,148,R-20260124-1-00148,2026-01-24T09:00:00Z,1,cash,33174.00,4,3,access
149,149,R-20260124-2-00149,2026-01-24T10:01:00Z,2,cash,36504.00,4,3,access
150,150,R-20260124-3-00150,2026-01-24T11:02:00Z,3,cash,25164.00,3,3,access
151,151,R-20260125-1-00151,2026-01-25T09:01:00Z,1,card,31500.00,4,3,access
152,152,R-20260125-2-00152,2026-01-25T10:02:00Z,2,card,31572.00,4,3,access
153,153,R-20260125-3-00153,2026-01-25T11:03:00Z,3,card,24588.00,3,3,access
154,154,R-20260126-1-00154,2026-01-26T09:02:00Z,1,cash,35352.00,4,3,access
155,155,R-20260126-2-00155,2026-01-26T10:03:00Z,2,cash,32472.00,4,3,access
156,156,R-20260126-3-00156,2026-01-26T11:04:00Z,3,cash,23148.00,3,3,access
157,157,R-20260127-1-00157,2026-01-27T09:03:00Z,1,card,34452.00,4,3,access
158,158,R-20260127-2-00158,2026-01-27T10:04:00Z,2,card,30852.00,4,3,access
159,159,R-20260127-3-00159,2026-01-27T11:05:00Z,3,card,22446.00,3,3,access
160,160,R-20260128-1-00160,2026-01-28T09:04:00Z,1,cash,33786.00,4,3,access
161,161,R-20260128-2-00161,2026-01-28T10:05:00Z,2,cash,34974.00,4,3,access
162,162,R-20260128-3-00162,2026-01-28T11:06:00Z,3,cash,23868.00,3,3,access
163,163,R-20260129-1-00163,2026-01-29T09:05:00Z,1,card,31014.00,4,3,access
164,164,R-20260129-2-00164,2026-01-29T10:06:00Z,2,card,33948.00,4,3,access
165,165,R-20260129-3-00165,2026-01-29T11:07:00Z,3,card,23940.00,3,3,access
166,166,R-20260130-1-00166,2026-01-30T09:06:00Z,1,cash,28800.00,4,3,access
167,167,R-20260130-2-00167,2026-01-30T10:07:00Z,2,cash,32328.00,4,3,access
168,168,R-20260130-3-00168,2026-01-30T11:08:00Z,3,cash,18972.00,3,3,access
169,169,R-20260131-1-00169,2026-01-31T09:07:00Z,1,card,28782.00,4,3,access
170,170,R-20260131-2-00170,2026-01-31T10:08:00Z,2,card,27324.00,4,3,access
171,171,R-20260131-3-00171,2026-01-31T11:09:00Z,3,card,21168.00,3,3,access
172,172,R-20260201-1-00172,2026-02-01T09:08:00Z,1,cash,31788.00,4,3,access
173,173,R-20260201-2-00173,2026-02-01T10:09:00Z,2,cash,26424.00,4,3,access
174,174,R-20260201-3-00174,2026-02-01T11:10:00Z,3,cash,19602.00,3,3,access
175,175,R-20260202-1-00175,2026-02-02T09:09:00Z,1,card,26118.00,4,3,access
176,176,R-20260202-2-00176,2026-02-02T10:10:00Z,2,card,24552.00,4,3,access
177,177,R-20260202-3-00177,2026-02-02T11:11:00Z,3,card,17658.00,3,3,access
178,178,R-20260203-1-00178,2026-02-03T09:10:00Z,1,cash,26136.00,4,3,access
179,179,R-20260203-2-00179,2026-02-03T10:11:00Z,2,cash,26802.00,4,3,access
180,180,R-20260203-3-00180,2026-02-03T11:12:00Z,3,cash,14058.00,3,3,access
181,181,R-20260204-1-00181,2026-02-04T09:11:00Z,1,card,27126.00,4,3,access
182,182,R-20260204-2-00182,2026-02-04T10:12:00Z,2,card,25020.00,4,3,access
183,183,R-20260204-3-00183,2026-02-04T11:13:00Z,3,card,12870.00,3,3,access
184,184,R-20260205-1-00184,2026-02-05T09:12:00Z,1,cash,24570.00,4,3,access
185,185,R-20260205-2-00185,2026-02-05T10:13:00Z,2,cash,18018.00,4,3,access
186,186,R-20260205-3-00186,2026-02-05T11:14:00Z,3,cash,13086.00,3,3,access
187,187,R-20260206-1-00187,2026-02-06T09:13:00Z,1,card,27540.00,4,3,access
188,188,R-20260206-2-00188,2026-02-06T10:14:00Z,2,card,19260.00,4,3,access
189,189,R-20260206-3-00189,2026-02-06T11:15:00Z,3,card,20862.00,3,3,access
190,190,R-20260207-1-00190,2026-02-07T09:14:00Z,1,cash,19998.00,4,3,access
191,191,R-20260207-2-00191,2026-02-07T10:15:00Z,2,cash,25902.00,4,3,access
192,192,R-20260207-3-00192,2026-02-07T11:16:00Z,3,cash,14508.00,3,3,access
193,193,R-20260208-1-00193,2026-02-08T09:15:00Z,1,card,16020.00,4,3,access
194,194,R-20260208-2-00194,2026-02-08T10:16:00Z,2,card,22482.00,4,3,access
195,195,R-20260208-3-00195,2026-02-08T11:17:00Z,3,card,13770.00,3,3,access
196,196,R-20260209-1-00196,2026-02-09T09:16:00Z,1,cash,25650.00,4,3,access
197,197,R-20260209-2-00197,2026-02-09T10:17:00Z,2,cash,21294.00,4,3,access
198,198,R-20260209-3-00198,2026-02-09T11:18:00Z,3,cash,21996.00,3,3,access
199,199,R-20260210-1-00199,2026-02-10T09:17:00Z,1,card,14976.00,4,3,access
200,200,R-20260210-2-00200,2026-02-10T10:18:00Z,2,card,25668.00,4,3,access
201,201,R-20260210-3-00201,2026-02-10T11:19:00Z,3,card,16128.00,3,3,access
202,202,R-20260211-1-00202,2026-02-11T09:18:00Z,1,cash,14220.00,4,3,access
203,203,R-20260211-2-00203,2026-02-11T10:19:00Z,2,cash,25200.00,4,3,access
204,204,R-20260211-3-00204,2026-02-11T11:20:00Z,3,cash,15660.00,3,3,access
205,205,R-20260212-1-00205,2026-02-12T09:19:00Z,1,card,28890.00,4,3,access
206,206,R-20260212-2-00206,2026-02-12T10:20:00Z,2,card,16290.00,4,3,access
207,207,R-20260212-3-00207,2026-02-12T11:21:00Z,3,card,24480.00,3,3,access
208,208,R-20260213-1-00208,2026-02-13T09:20:00Z,1,cash,22842.00,4,3,access
209,209,R-20260213-2-00209,2026-02-13T10:21:00Z,2,cash,15444.00,4,3,access
210,210,R-20260213-3-00210,2026-02-13T11:22:00Z,3,cash,25650.00,3,3,access
211,211,R-20260214-1-00211,2026-02-14T09:21:00Z,1,card,22374.00,4,3,access
212,212,R-20260214-2-00212,2026-02-14T10:22:00Z,2,card,31554.00,4,3,access
213,213,R-20260214-3-00213,2026-02-14T11:23:00Z,3,card,24858.00,3,3,access
214,214,R-20260215-1-00214,2026-02-15T09:22:00Z,1,cash,33642.00,4,3,access
215,215,R-20260215-2-00215,2026-02-15T10:23:00Z,2,cash,34344.00,4,3,access
216,216,R-20260215-3-00216,2026-02-15T11:24:00Z,3,cash,25326.00,3,3,access
217,217,R-20260216-1-00217,2026-02-16T09:23:00Z,1,card,34434.00,4,3,access
218,218,R-20260216-2-00218,2026-02-16T10:24:00Z,2,card,33552.00,4,3,access
219,219,R-20260216-3-00219,2026-02-16T11:25:00Z,3,card,28206.00,3,3,access
220,220,R-20260217-1-00220,2026-02-17T09:24:00Z,1,cash,33174.00,4,3,access
221,221,R-20260217-2-00221,2026-02-17T10:25:00Z,2,cash,36504.00,4,3,access
222,222,R-20260217-3-00222,2026-02-17T11:26:00Z,3,cash,25164.00,3,3,access
223,223,R-20260218-1-00223,2026-02-18T09:25:00Z,1,card,31500.00,4,3,access
224,224,R-20260218-2-00224,2026-02-18T10:26:00Z,2,card,31572.00,4,3,access
225,225,R-20260218-3-00225,2026-02-18T11:27:00Z,3,card,24588.00,3,3,access
226,226,R-20260219-1-00226,2026-02-19T09:26:00Z,1,cash,35352.00,4,3,access
227,227,R-20260219-2-00227,2026-02-19T10:27:00Z,2,cash,32472.00,4,3,access
228,228,R-20260219-3-00228,2026-02-19T11:28:00Z,3,cash,23148.00,3,3,access
229,229,R-20260220-1-00229,2026-02-20T09:27:00Z,1,card,34452.00,4,3,access
230,230,R-20260220-2-00230,2026-02-20T10:28:00Z,2,card,30852.00,4,3,access
231,231,R-20260220-3-00231,2026-02-20T11:29:00Z,3,card,22446.00,3,3,access
232,232,R-20260221-1-00232,2026-02-21T09:28:00Z,1,cash,33786.00,4,3,access
233,233,R-20260221-2-00233,2026-02-21T10:29:00Z,2,cash,34974.00,4,3,access
234,234,R-20260221-3-00234,2026-02-21T11:30:00Z,3,cash,23868.00,3,3,access
235,235,R-20260222-1-00235,2026-02-22T09:29:00Z,1,card,31014.00,4,3,access
236,236,R-20260222-2-00236,2026-02-22T10:30:00Z,2,card,33948.00,4,3,access
237,237,R-20260222-3-00237,2026-02-22T11:31:00Z,3,card,23940.00,3,3,access
238,238,R-20260223-1-00238,2026-02-23T09:30:00Z,1,cash,28800.00,4,3,access
239,239,R-20260223-2-00239,2026-02-23T10:31:00Z,2,cash,32328.00,4,3,access
240,240,R-20260223-3-00240,2026-02-23T11:32:00Z,3,cash,13032.00,3,3,access
241,241,R-20260224-1-00241,2026-02-24T09:31:00Z,1,card,28782.00,4,3,access
242,242,R-20260224-2-00242,2026-02-24T10:32:00Z,2,card,27324.00,4,3,access
243,243,R-20260224-3-00243,2026-02-24T11:33:00Z,3,card,21168.00,3,3,access
244,244,R-20260225-1-00244,2026-02-25T09:32:00Z,1,cash,31788.00,4,3,access
245,245,R-20260225-2-00245,2026-02-25T10:33:00Z,2,cash,26424.00,4,3,access
246,246,R-20260225-3-00246,2026-02-25T11:34:00Z,3,cash,19602.00,3,3,access
247,247,R-20260226-1-00247,2026-02-26T09:33:00Z,1,card,26118.00,4,3,access
248,248,R-20260226-2-00248,2026-02-26T10:34:00Z,2,card,24552.00,4,3,access
249,249,R-20260226-3-00249,2026-02-26T11:35:00Z,3,card,17658.00,3,3,access
250,250,R-20260227-1-00250,2026-02-27T09:34:00Z,1,cash,26136.00,4,3,access
251,251,R-20260227-2-00251,2026-02-27T10:35:00Z,2,cash,26802.00,4,3,access
252,252,R-20260227-3-00252,2026-02-27T11:36:00Z,3,cash,19638.00,3,3,access
253,253,R-20260228-1-00253,2026-02-28T09:35:00Z,1,card,27126.00,4,3,access
254,254,R-20260228-2-00254,2026-02-28T10:36:00Z,2,card,25020.00,4,3,access
255,255,R-20260228-3-00255,2026-02-28T11:37:00Z,3,card,12870.00,3,3,access
256,256,R-20260301-1-00256,2026-03-01T09:36:00Z,1,cash,24570.00,4,3,access
257,257,R-20260301-2-00257,2026-03-01T10:37:00Z,2,cash,18018.00,4,3,access
258,258,R-20260301-3-00258,2026-03-01T11:38:00Z,3,cash,13086.00,3,3,access
259,259,R-20260302-1-00259,2026-03-02T09:37:00Z,1,card,27540.00,4,3,access
260,260,R-20260302-2-00260,2026-03-02T10:38:00Z,2,card,19260.00,4,3,access
261,261,R-20260302-3-00261,2026-03-02T11:39:00Z,3,card,20862.00,3,3,access
262,262,R-20260303-1-00262,2026-03-03T09:38:00Z,1,cash,19998.00,4,3,access
263,263,R-20260303-2-00263,2026-03-03T10:39:00Z,2,cash,25902.00,4,3,access
264,264,R-20260303-3-00264,2026-03-03T11:40:00Z,3,cash,14508.00,3,3,access
265,265,R-20260304-1-00265,2026-03-04T09:39:00Z,1,card,16020.00,4,3,access
266,266,R-20260304-2-00266,2026-03-04T10:40:00Z,2,card,22482.00,4,3,access
267,267,R-20260304-3-00267,2026-03-04T11:41:00Z,3,card,13770.00,3,3,access
268,268,R-20260305-1-00268,2026-03-05T09:40:00Z,1,cash,25650.00,4,3,access
269,269,R-20260305-2-00269,2026-03-05T10:41:00Z,2,cash,21294.00,4,3,access
270,270,R-20260305-3-00270,2026-03-05T11:42:00Z,3,cash,21996.00,3,3,access
271,271,R-20260306-1-00271,2026-03-06T09:41:00Z,1,card,14976.00,4,3,access
272,272,R-20260306-2-00272,2026-03-06T10:42:00Z,2,card,25668.00,4,3,access
273,273,R-20260306-3-00273,2026-03-06T11:43:00Z,3,card,16128.00,3,3,access
274,274,R-20260307-1-00274,2026-03-07T09:42:00Z,1,cash,14220.00,4,3,access
275,275,R-20260307-2-00275,2026-03-07T10:43:00Z,2,cash,25200.00,4,3,access
276,276,R-20260307-3-00276,2026-03-07T11:44:00Z,3,cash,15660.00,3,3,access
277,277,R-20260308-1-00277,2026-03-08T09:43:00Z,1,card,28890.00,4,3,access
278,278,R-20260308-2-00278,2026-03-08T10:44:00Z,2,card,16290.00,4,3,access
279,279,R-20260308-3-00279,2026-03-08T11:45:00Z,3,card,24480.00,3,3,access
280,280,R-20260309-1-00280,2026-03-09T09:44:00Z,1,cash,22842.00,4,3,access
281,281,R-20260309-2-00281,2026-03-09T10:45:00Z,2,cash,15444.00,4,3,access
282,282,R-20260309-3-00282,2026-03-09T11:46:00Z,3,cash,25650.00,3,3,access
283,283,R-20260310-1-00283,2026-03-10T09:45:00Z,1,card,22374.00,4,3,access
284,284,R-20260310-2-00284,2026-03-10T10:46:00Z,2,card,31554.00,4,3,access
285,285,R-20260310-3-00285,2026-03-10T11:47:00Z,3,card,24858.00,3,3,access
286,286,R-20260311-1-00286,2026-03-11T09:46:00Z,1,cash,33642.00,4,3,access
287,287,R-20260311-2-00287,2026-03-11T10:47:00Z,2,cash,34344.00,4,3,access
288,288,R-20260311-3-00288,2026-03-11T11:48:00Z,3,cash,25326.00,3,3,access
289,289,R-20260312-1-00289,2026-03-12T09:47:00Z,1,card,34434.00,4,3,access
290,290,R-20260312-2-00290,2026-03-12T10:48:00Z,2,card,33552.00,4,3,access
291,291,R-20260312-3-00291,2026-03-12T11:49:00Z,3,card,28206.00,3,3,access
292,292,R-20260313-1-00292,2026-03-13T09:48:00Z,1,cash,33174.00,4,3,access
293,293,R-20260313-2-00293,2026-03-13T10:49:00Z,2,cash,36504.00,4,3,access
294,294,R-20260313-3-00294,2026-03-13T11:00:00Z,3,cash,25164.00,3,3,access
295,295,R-20260314-1-00295,2026-03-14T09:49:00Z,1,card,31500.00,4,3,access
296,296,R-20260314-2-00296,2026-03-14T10:00:00Z,2,card,31572.00,4,3,access
297,297,R-20260314-3-00297,2026-03-14T11:01:00Z,3,card,24588.00,3,3,access
298,298,R-20260315-1-00298,2026-03-15T09:00:00Z,1,cash,35352.00,4,3,access
299,299,R-20260315-2-00299,2026-03-15T10:01:00Z,2,cash,32472.00,4,3,access
300,300,R-20260315-3-00300,2026-03-15T11:02:00Z,3,cash,16416.00,3,3,access
301,301,R-20260316-1-00301,2026-03-16T09:01:00Z,1,card,34452.00,4,3,access
302,302,R-20260316-2-00302,2026-03-16T10:02:00Z,2,card,30852.00,4,3,access
303,303,R-20260316-3-00303,2026-03-16T11:03:00Z,3,card,22446.00,3,3,access
304,304,R-20260317-1-00304,2026-03-17T09:02:00Z,1,cash,33786.00,4,3,access
