Id,PLU,Naziv,IDTipObuce,IDDobavljac,NabavnaCena,NabavnaCenaDin,PrvaProdajnaCena,ProdajnaCena,Velicina,Boja,Kolicina,MinimalnaKolicina,Komentar,IDObjekat,IDSezona,UpdatedAt,Kategorija,Pol,Materijal,DataOrigin,SourceTableKey,SourceRowId,SourceUpdatedAtUtc,SourceHash,SourceBatchId,ImagePath
67,DEMO-0067,Demo Cizme 067,3,2,3630.00,424710.00,5626.50,6534.00,42,Siva,11,4,Demo item WATCH,1,3,2026-06-03T00:53:00Z,Cizme,Musko,Nabuk,access,demo_artikli,100067,2026-06-03T00:53:00Z,demo-art-0067,1001,/demo/images/DEMO-0067.jpg
68,DEMO-0068,Demo Odeca 068,4,6,3740.00,437580.00,5797.00,6732.00,43,Crvena,12,4,Demo item WATCH,2,4,2026-06-03T00:52:00Z,Odeca,Unisex,Pamuk,access,demo_artikli,100068,2026-06-03T00:52:00Z,demo-art-0068,1001,/demo/images/DEMO-0068.jpg
69,DEMO-0069,Demo Patike 069,1,4,3850.00,450450.00,5967.50,6930.00,44,Zelena,13,4,Demo item WATCH,3,1,2026-06-03T00:51:00Z,Patike,Unisex,Tekstil,access,demo_artikli,100069,2026-06-03T00:51:00Z,demo-art-0069,1001,/demo/images/DEMO-0069.jpg
70,DEMO-0070,Demo Sandale 070,2,5,3960.00,463320.00,6138.00,7128.00,38,Crna,14,4,Demo item WATCH,1,2,2026-06-03T00:50:00Z,Sandale,Zensko,Koza,access,demo_artikli,100070,2026-06-03T00:50:00Z,demo-art-0070,1001,/demo/images/DEMO-0070.jpg
71,DEMO-0071,Demo Cizme 071,3,1,4070.00,476190.00,6308.50,7326.00,39,Bela,15,4,Demo item WATCH,2,3,2026-06-03T00:49:00Z,Cizme,Musko,Nabuk,access,demo_artikli,100071,2026-06-03T00:49:00Z,demo-art-0071,1001,/demo/images/DEMO-0071.jpg
72,DEMO-0072,Demo Odeca 072,4,6,3300.00,386100.00,5115.00,5940.00,40,Braon,8,4,Demo item WATCH,3,4,2026-06-03T00:48:00Z,Odeca,Unisex,Pamuk,access,demo_artikli,100072,2026-06-03T00:48:00Z,demo-art-0072,1001,/demo/images/DEMO-0072.jpg
73,DEMO-0073,Demo Patike 073,1,3,3410.00,398970.00,5285.50,6138.00,41,Plava,9,4,Demo item WATCH,1,1,2026-06-03T00:47:00Z,Patike,Unisex,Tekstil,access,demo_artikli,100073,2026-06-03T00:47:00Z,demo-art-0073,1001,/demo/images/DEMO-0073.jpg
74,DEMO-0074,Demo Sandale 074,2,4,3520.00,411840.00,5456.00,6336.00,42,Siva,10,4,Demo item WATCH,2,2,2026-06-03T00:46:00Z,Sandale,Zensko,Koza,access,demo_artikli,100074,2026-06-03T00:46:00Z,demo-art-0074,1001,/demo/images/DEMO-0074.jpg
75,DEMO-0075,Demo Cizme 075,3,5,3630.00,424710.00,5626.50,6534.00,43,Crvena,11,4,Demo item WATCH,3,3,2026-06-03T00:45:00Z,Cizme,Musko,Nabuk,access,demo_artikli,100075,2026-06-03T00:45:00Z,demo-art-0075,1001,/demo/images/DEMO-0075.jpg
76,DEMO-0076,Demo Odeca 076,4,6,3740.00,437580.00,5797.00,6732.00,44,Zelena,12,4,Demo item WATCH,1,4,2026-06-03T00:44:00Z,Odeca,Unisex,Pamuk,access,demo_artikli,100076,2026-06-03T00:44:00Z,demo-art-0076,1001,/demo/images/DEMO-0076.jpg
77,DEMO-0077,Demo Patike 077,1,2,3850.00,450450.00,5967.50,6930.00,38,Crna,13,4,Demo item WATCH,2,1,2026-06-03T00:43:00Z,Patike,Unisex,Tekstil,access,demo_artikli,100077,2026-06-03T00:43:00Z,demo-art-0077,1001,/demo/images/DEMO-0077.jpg
78,DEMO-0078,Demo Sandale 078,2,3,3960.00,463320.00,6138.00,7128.00,39,Bela,14,4,Demo item WATCH,3,2,2026-06-03T00:42:00Z,Sandale,Zensko,Koza,access,demo_artikli,100078,2026-06-03T00:42:00Z,demo-art-0078,1001,/demo/images/DEMO-0078.jpg
79,DEMO-0079,Demo Cizme 079,3,4,4070.00,476190.00,6308.50,7326.00,40,Braon,15,4,Demo item WATCH,1,3,2026-06-03T00:41:00Z,Cizme,Musko,Nabuk,access,demo_artikli,100079,2026-06-03T00:41:00Z,demo-art-0079,1001,/demo/images/DEMO-0079.jpg
80,DEMO-0080,Demo Odeca 080,4,6,3300.00,386100.00,5115.00,5940.00,41,Plava,8,4,Demo item WATCH,2,4,2026-06-03T00:40:00Z,Odeca,Unisex,Pamuk,access,demo_artikli,100080,2026-06-03T00:40:00Z,demo-art-0080,1001,/demo/images/DEMO-0080.jpg
81,DEMO-0081,Demo Patike 081,1,1,3410.00,398970.00,5285.50,6138.00,42,Siva,9,4,Demo item WATCH,3,1,2026-06-03T00:39:00Z,Patike,Unisex,Tekstil,access,demo_artikli,100081,2026-06-03T00:39:00Z,demo-art-0081,1001,/demo/images/DEMO-0081.jpg
82,DEMO-0082,Demo Sandale 082,2,2,3520.00,411840.00,5456.00,6336.00,43,Crvena,10,4,Demo item WATCH,1,2,2026-06-03T00:38:00Z,Sandale,Zensko,Koza,access,demo_artikli,100082,2026-06-03T00:38:00Z,demo-art-0082,1001,/demo/images/DEMO-0082.jpg
83,DEMO-0083,Demo Cizme 083,3,3,3630.00,424710.00,5626.50,6534.00,44,Zelena,11,4,Demo item WATCH,2,3,2026-06-03T00:37:00Z,Cizme,Musko,Nabuk,access,demo_artikli,100083,2026-06-03T00:37:00Z,demo-art-0083,1001,/demo/images/DEMO-0083.jpg
84,DEMO-0084,Demo Odeca 084,4,6,3740.00,437580.00,5797.00,6732.00,38,Crna,12,4,Demo item WATCH,3,4,2026-06-03T00:36:00Z,Odeca,Unisex,Pamuk,access,demo_artikli,100084,2026-06-03T00:36:00Z,demo-art-0084,1001,/demo/images/DEMO-0084.jpg
85,DEMO-0085,Demo Patike 085,1,5,3850.00,450450.00,5967.50,6930.00,39,Bela,13,4,Demo item WATCH,1,1,2026-06-03T00:35:00Z,Patike,Unisex,Tekstil,access,demo_artikli,100085,2026-06-03T00:35:00Z,demo-art-0085,1001,/demo/images/DEMO-0085.jpg
86,DEMO-0086,Demo Sandale 086,2,1,3960.00,463320.00,6138.00,7128.00,40,Braon,14,4,Demo item WATCH,2,2,2026-06-03T00:34:00Z,Sandale,Zensko,Koza,access,demo_artikli,100086,2026-06-03T00:34:00Z,demo-art-0086,1001,/demo/images/DEMO-0086.jpg
87,DEMO-0087,Demo Cizme 087,3,2,4070.00,476190.00,6308.50,7326.00,41,Plava,15,4,Demo item WATCH,3,3,2026-06-03T00:33:00Z,Cizme,Musko,Nabuk,access,demo_artikli,100087,2026-06-03T00:33:00Z,demo-art-0087,1001,/demo/images/DEMO-0087.jpg
