ProductKey,ProductId,PLU,ProductName,Category,SubCategory,Brand,Velicina,Boja,Materijal,FootwearTypeId,SupplierId,SeasonId,PurchasePrice,PurchasePriceRsd,FirstSalePrice,SalePrice,IsActive,Timestamp,Kolicina,MinimalnaKolicina,DataOrigin
24,24,DEMO-0024,Demo Odeca 024,Odeca,Odeca premium,DemoStyle,41,Plava,Pamuk,4,1,4,4290.00,501930.00,6649.50,7722.00,True,2026-06-03T02:00:00Z,0,6,access
25,25,DEMO-0025,Demo Patike 025,Patike,Patike premium,DemoRun,42,Siva,Tekstil,1,3,1,4420.00,517140.00,6851.00,7956.00,True,2026-06-03T02:00:00Z,1,6,access
26,26,DEMO-0026,Demo Sandale 026,Sandale,Sandale premium,DemoWalk,43,Crvena,Koza,2,3,2,4550.00,532350.00,7052.50,8190.00,True,2026-06-03T02:00:00Z,0,6,access
27,27,DEMO-0027,Demo Cizme 027,Cizme,Cizme premium,DemoWarm,44,Zelena,Nabuk,3,1,3,4680.00,547560.00,7254.00,8424.00,True,2026-06-03T02:00:00Z,1,6,access
28,28,DEMO-0028,Demo Odeca 028,Odeca,Odeca premium,DemoStyle,38,Crna,Pamuk,4,3,4,3900.00,456300.00,6045.00,7020.00,True,2026-06-03T02:00:00Z,0,6,access
29,29,DEMO-0029,Demo Patike 029,Patike,Patike premium,DemoRun,39,Bela,Tekstil,1,3,1,4030.00,471510.00,6246.50,7254.00,True,2026-06-03T02:00:00Z,1,6,access
30,30,DEMO-0030,Demo Sandale 030,Sandale,Sandale premium,DemoWalk,40,Braon,Koza,2,1,2,4160.00,486720.00,6448.00,7488.00,True,2026-06-03T02:00:00Z,0,6,access
31,31,DEMO-0031,Demo Cizme 031,Cizme,Cizme premium,DemoWarm,41,Plava,Nabuk,3,3,3,4290.00,501930.00,6649.50,7722.00,True,2026-06-03T02:00:00Z,1,6,access
32,32,DEMO-0032,Demo Odeca 032,Odeca,Odeca premium,DemoStyle,42,Siva,Pamuk,4,3,4,4420.00,517140.00,6851.00,7956.00,True,2026-06-03T02:00:00Z,0,6,access
33,33,DEMO-0033,Demo Patike 033,Patike,Patike premium,DemoRun,43,Crvena,Tekstil,1,1,1,4550.00,532350.00,7052.50,8190.00,True,2026-06-03T02:00:00Z,1,6,access
34,34,DEMO-0034,Demo Sandale 034,Sandale,Sandale premium,DemoWalk,44,Zelena,Koza,2,3,2,4680.00,547560.00,7254.00,8424.00,True,2026-06-03T02:00:00Z,0,6,access
35,35,DEMO-0035,Demo Cizme 035,Cizme,Cizme premium,DemoWarm,38,Crna,Nabuk,3,3,3,3900.00,456300.00,6045.00,7020.00,True,2026-06-03T02:00:00Z,1,6,access
36,36,DEMO-0036,Demo Odeca 036,Odeca,Odeca premium,DemoStyle,39,Bela,Pamuk,4,4,4,5100.00,596700.00,7905.00,9180.00,True,2026-06-03T02:00:00Z,18,5,access
37,37,DEMO-0037,Demo Patike 037,Patike,Patike premium,DemoRun,40,Braon,Tekstil,1,5,1,5280.00,617760.00,8184.00,9504.00,True,2026-06-03T02:00:00Z,19,5,access
38,38,DEMO-0038,Demo Sandale 038,Sandale,Sandale premium,DemoWalk,41,Plava,Koza,2,4,2,5460.00,638820.00,8463.00,9828.00,True,2026-06-03T02:00:00Z,20,5,access
39,39,DEMO-0039,Demo Cizme 039,Cizme,Cizme premium,DemoWarm,42,Siva,Nabuk,3,5,3,5640.00,659880.00,8742.00,10152.00,True,2026-06-03T02:00:00Z,21,5,access
40,40,DEMO-0040,Demo Odeca 040,Odeca,Odeca premium,DemoStyle,43,Crvena,Pamuk,4,4,4,5820.00,680940.00,9021.00,10476.00,True,2026-06-03T02:00:00Z,22,5,access
41,41,DEMO-0041,Demo Patike 041,Patike,Patike premium,DemoRun,44,Zelena,Tekstil,1,5,1,6000.00,702000.00,9300.00,10800.00,True,2026-06-03T02:00:00Z,23,5,access
42,42,DEMO-0042,Demo Sandale 042,Sandale,Sandale premium,DemoWalk,38,Crna,Koza,2,4,2,5100.00,596700.00,7905.00,9180.00,True,2026-06-03T02:00:00Z,24,5,access
43,43,DEMO-0043,Demo Cizme 043,Cizme,Cizme premium,DemoWarm,39,Bela,Nabuk,3,5,3,5280.00,617760.00,8184.00,9504.00,True,2026-06-03T02:00:00Z,25,5,access
44,44,DEMO-0044,Demo Odeca 044,Odeca,Odeca premium,DemoStyle,40,Braon,Pamuk,4,4,4,5460.00,638820.00,8463.00,9828.00,True,2026-06-03T02:00:00Z,26,5,access
45,45,DEMO-0045,Demo Patike 045,Patike,Patike premium,DemoRun,41,Plava,Tekstil,1,5,1,5640.00,659880.00,8742.00,10152.00,True,2026-06-03T02:00:00Z,27,5,access
46,46,DEMO-0046,Demo Sandale 046,Sandale,Sandale premium,DemoWalk,42,Siva,Koza,2,4,2,5820.00,680940.00,9021.00,10476.00,True,2026-06-03T02:00:00Z,28,5,access
47,47,DEMO-0047,Demo Cizme 047,Cizme,Cizme premium,DemoWarm,43,Crvena,Nabuk,3,5,3,6000.00,702000.00,9300.00,10800.00,True,2026-06-03T02:00:00Z,29,5,access
48,48,DEMO-0048,Demo Odeca 048,Odeca,Odeca premium,DemoStyle,44,Zelena,Pamuk,4,4,4,5100.00,596700.00,7905.00,9180.00,True,2026-06-03T02:00:00Z,18,5,access
49,49,DEMO-0049,Demo Patike 049,Patike,Patike premium,DemoRun,38,Crna,Tekstil,1,5,1,5280.00,617760.00,8184.00,9504.00,True,2026-06-03T02:00:00Z,19,5,access
50,50,DEMO-0050,Demo Sandale 050,Sandale,Sandale premium,DemoWalk,39,Bela,Koza,2,4,2,5460.00,638820.00,8463.00,9828.00,True,2026-06-03T02:00:00Z,20,5,access
51,51,DEMO-0051,Demo Cizme 051,Cizme,Cizme premium,DemoWarm,40,Braon,Nabuk,3,5,3,5640.00,659880.00,8742.00,10152.00,True,2026-06-03T02:00:00Z,21,5,access
52,52,DEMO-0052,Demo Odeca 052,Odeca,Odeca premium,DemoStyle,41,Plava,Pamuk,4,4,4,5820.00,680940.00,9021.00,10476.00,True,2026-06-03T02:00:00Z,22,5,access
53,53,DEMO-0053,Demo Patike 053,Patike,Patike premium,DemoRun,42,Siva,Tekstil,1,5,1,6000.00,702000.00,9300.00,10800.00,True,2026-06-03T02:00:00Z,23,5,access
54,54,DEMO-0054,Demo Sandale 054,Sandale,Sandale premium,DemoWalk,43,Crvena,Koza,2,5,2,3840.00,449280.00,5952.00,6912.00,True,2026-06-03T02:00:00Z,30,10,access
55,55,DEMO-0055,Demo Cizme 055,Cizme,Cizme premium,DemoWarm,44,Zelena,Nabuk,3,5,3,3960.00,463320.00,6138.00,7128.00,True,2026-06-03T02:00:00Z,31,10,access
56,56,DEMO-0056,Demo Odeca 056,Odeca,Odeca premium,DemoStyle,38,Crna,Pamuk,4,5,4,3600.00,421200.00,5580.00,6480.00,True,2026-06-03T02:00:00Z,32,10,access
57,57,DEMO-0057,Demo Patike 057,Patike,Patike premium,DemoRun,39,Bela,Tekstil,1,5,1,3720.00,435240.00,5766.00,6696.00,True,2026-06-03T02:00:00Z,33,10,access
58,58,DEMO-0058,Demo Sandale 058,Sandale,Sandale premium,DemoWalk,40,Braon,Koza,2,5,2,3840.00,449280.00,5952.00,6912.00,True,2026-06-03T02:00:00Z,34,10,access
59,59,DEMO-0059,Demo Cizme 059,Cizme,Cizme premium,DemoWarm,41,Plava,Nabuk,3,5,3,3960.00,463320.00,6138.00,7128.00,True,2026-06-03T02:00:00Z,35,10,access
60,60,DEMO-0060,Demo Odeca 060,Odeca,Odeca premium,DemoStyle,42,Siva,Pamuk,4,5,4,3600.00,421200.00,5580.00,6480.00,True,2026-06-03T02:00:00Z,36,10,access
61,61,DEMO-0061,Demo Patike 061,Patike,Patike premium,DemoRun,43,Crvena,Tekstil,1,5,1,3720.00,435240.00,5766.00,6696.00,True,2026-06-03T02:00:00Z,37,10,access
62,62,DEMO-0062,Demo Sandale 062,Sandale,Sandale premium,DemoWalk,44,Zelena,Koza,2,5,2,3840.00,449280.00,5952.00,6912.00,True,2026-06-03T02:00:00Z,38,10,access
63,63,DEMO-0063,Demo Cizme 063,Cizme,Cizme premium,DemoWarm,38,Crna,Nabuk,3,5,3,3960.00,463320.00,6138.00,7128.00,True,2026-06-03T02:00:00Z,39,10,access
64,64,DEMO-0064,Demo Odeca 064,Odeca,Odeca premium,DemoStyle,39,Bela,Pamuk,4,6,4,3300.00,386100.00,5115.00,5940.00,True,2026-06-03T02:00:00Z,8,4,access
65,65,DEMO-0065,Demo Patike 065,Patike,Patike premium,DemoRun,40,Braon,Tekstil,1,5,1,3410.00,398970.00,5285.50,6138.00,True,2026-06-03T02:00:00Z,9,4,access
66,66,DEMO-0066,Demo Sandale 066,Sandale,Sandale premium,DemoWalk,41,Plava,Koza,2,1,2,3520.00,411840.00,5456.00,6336.00,True,2026-06-03T02:00:00Z,10,4,access
67,67,DEMO-0067,Demo Cizme 067,Cizme,Cizme premium,DemoWarm,42,Siva,Nabuk,3,2,3,3630.00,424710.00,5626.50,6534.00,True,2026-06-03T02:00:00Z,11,4,access
68,68,DEMO-0068,Demo Odeca 068,Odeca,Odeca premium,DemoStyle,43,Crvena,Pamuk,4,6,4,3740.00,437580.00,5797.00,6732.00,True,2026-06-03T02:00:00Z,12,4,access
69,69,DEMO-0069,Demo Patike 069,Patike,Patike premium,DemoRun,44,Zelena,Tekstil,1,4,1,3850.00,450450.00,5967.50,6930.00,True,2026-06-03T02:00:00Z,13,4,access
70,70,DEMO-0070,Demo Sandale 070,Sandale,Sandale premium,DemoWalk,38,Crna,Koza,2,5,2,3960.00,463320.00,6138.00,7128.00,True,2026-06-03T02:00:00Z,14,4,access
71,71,DEMO-0071,Demo Cizme 071,Cizme,Cizme premium,DemoWarm,39,Bela,Nabuk,3,1,3,4070.00,476190.00,6308.50,7326.00,True,2026-06-03T02:00:00Z,15,4,access
72,72,DEMO-0072,Demo Odeca 072,Odeca,Odeca premium,DemoStyle,40,Braon,Pamuk,4,6,4,3300.00,386100.00,5115.00,5940.00,True,2026-06-03T02:00:00Z,8,4,access
73,73,DEMO-0073,Demo Patike 073,Patike,Patike premium,DemoRun,41,Plava,Tekstil,1,3,1,3410.00,398970.00,5285.50,6138.00,True,2026-06-03T02:00:00Z,9,4,access
74,74,DEMO-0074,Demo Sandale 074,Sandale,Sandale premium,DemoWalk,42,Siva,Koza,2,4,2,3520.00,411840.00,5456.00,6336.00,True,2026-06-03T02:00:00Z,10,4,access
75,75,DEMO-0075,Demo Cizme 075,Cizme,Cizme premium,DemoWarm,43,Crvena,Nabuk,3,5,3,3630.00,424710.00,5626.50,6534.00,True,2026-06-03T02:00:00Z,11,4,access
76,76,DEMO-0076,Demo Odeca 076,Odeca,Odeca premium,DemoStyle,44,Zelena,Pamuk,4,6,4,3740.00,437580.00,5797.00,6732.00,True,2026-06-03T02:00:00Z,12,4,access
77,77,DEMO-0077,Demo Patike 077,Patike,Patike premium,DemoRun,38,Crna,Tekstil,1,2,1,3850.00,450450.00,5967.50,6930.00,True,2026-06-03T02:00:00Z,13,4,access
78,78,DEMO-0078,Demo Sandale 078,Sandale,Sandale premium,DemoWalk,39,Bela,Koza,2,3,2,3960.00,463320.00,6138.00,7128.00,True,2026-06-03T02:00:00Z,14,4,access
79,79,DEMO-0079,Demo Cizme 079,Cizme,Cizme premium,DemoWarm,40,Braon,Nabuk,3,4,3,4070.00,476190.00,6308.50,7326.00,True,2026-06-03T02:00:00Z,15,4,access
80,80,DEMO-0080,Demo Odeca 080,Odeca,Odeca premium,DemoStyle,41,Plava,Pamuk,4,6,4,3300.00,386100.00,5115.00,5940.00,True,2026-06-03T02:00:00Z,8,4,access
81,81,DEMO-0081,Demo Patike 081,Patike,Patike premium,DemoRun,42,Siva,Tekstil,1,1,1,3410.00,398970.00,5285.50,6138.00,True,2026-06-03T02:00:00Z,9,4,access
82,82,DEMO-0082,Demo Sandale 082,Sandale,Sandale premium,DemoWalk,43,Crvena,Koza,2,2,2,3520.00,411840.00,5456.00,6336.00,True,2026-06-03T02:00:00Z,10,4,access
83,83,DEMO-0083,Demo Cizme 083,Cizme,Cizme premium,DemoWarm,44,Zelena,Nabuk,3,3,3,3630.00,424710.00,5626.50,6534.00,True,2026-06-03T02:00:00Z,11,4,access
84,84,DEMO-0084,Demo Odeca 084,Odeca,Odeca premium,DemoStyle,38,Crna,Pamuk,4,6,4,3740.00,437580.00,5797.00,6732.00,True,2026-06-03T02:00:00Z,12,4,access
85,85,DEMO-0085,Demo Patike 085,Patike,Patike premium,DemoRun,39,Bela,Tekstil,1,5,1,3850.00,450450.00,5967.50,6930.00,True,2026-06-03T02:00:00Z,13,4,access
86,86,DEMO-0086,Demo Sandale 086,Sandale,Sandale premium,DemoWalk,40,Braon,Koza,2,1,2,3960.00,463320.00,6138.00,7128.00,True,2026-06-03T02:00:00Z,14,4,access
87,87,DEMO-0087,Demo Cizme 087,Cizme,Cizme premium,DemoWarm,41,Plava,Nabuk,3,2,3,4070.00,476190.00,6308.50,7326.00,True,2026-06-03T02:00:00Z,15,4,access
88,88,DEMO-0088,Demo Odeca 088,Odeca,Odeca premium,DemoStyle,42,Siva,Pamuk,4,6,4,3300.00,386100.00,5115.00,5940.00,True,2026-06-03T02:00:00Z,8,4,access
89,89,DEMO-0089,Demo Patike 089,Patike,Patike premium,DemoRun,43,Crvena,Tekstil,1,4,1,3410.00,398970.00,5285.50,6138.00,True,2026-06-03T02:00:00Z,9,4,access
90,90,DEMO-0090,Demo Sandale 090,Sandale,Sandale premium,DemoWalk,44,Zelena,Koza,2,5,2,3520.00,411840.00,5456.00,6336.00,True,2026-06-03T02:00:00Z,10,4,access
91,91,DEMO-0091,Demo Cizme 091,Cizme,Cizme premium,DemoWarm,38,Crna,Nabuk,3,1,3,3630.00,424710.00,5626.50,6534.00,True,2026-06-03T02:00:00Z,11,4,access
92,92,DEMO-0092,Demo Odeca 092,Odeca,Odeca premium,DemoStyle,39,Bela,Pamuk,4,6,4,3740.00,437580.00,5797.00,6732.00,True,2026-06-03T02:00:00Z,12,4,access
93,93,DEMO-0093,Demo Patike 093,Patike,Patike premium,DemoRun,40,Braon,Tekstil,1,3,1,3850.00,450450.00,5967.50,6930.00,True,2026-06-03T02:00:00Z,13,4,access
94,94,DEMO-0094,Demo Sandale 094,Sandale,Sandale premium,DemoWalk,41,Plava,Koza,2,4,2,3960.00,463320.00,6138.00,7128.00,True,2026-06-03T02:00:00Z,14,4,access
95,95,DEMO-0095,Demo Cizme 095,Cizme,Cizme premium,DemoWarm,42,Siva,Nabuk,3,5,3,4070.00,476190.00,6308.50,7326.00,True,2026-06-03T02:00:00Z,15,4,access
96,96,DEMO-0096,Demo Odeca 096,Odeca,Odeca premium,DemoStyle,43,Crvena,Pamuk,4,6,4,3300.00,386100.00,5115.00,5940.00,True,2026-06-03T02:00:00Z,8,4,access
97,97,DEMO-0097,Demo Patike 097,Patike,Patike premium,DemoRun,44,Zelena,Tekstil,1,2,1,3410.00,398970.00,5285.50,6138.00,True,2026-06-03T02:00:00Z,9,4,access
98,98,DEMO-0098,Demo Sandale 098,Sandale,Sandale premium,DemoWalk,38,Crna,Koza,2,3,2,3520.00,411840.00,5456.00,6336.00,True,2026-06-03T02:00:00Z,10,4,access
99,99,DEMO-0099,Demo Cizme 099,Cizme,Cizme premium,DemoWarm,39,Bela,Nabuk,3,4,3,3630.00,424710.00,5626.50,6534.00,True,2026-06-03T02:00:00Z,11,4,access
100,100,DEMO-0100,Demo Odeca 100,Odeca,Odeca premium,DemoStyle,40,Braon,Pamuk,4,6,4,3740.00,437580.00,5797.00,6732.00,True,2026-06-03T02:00:00Z,12,4,access
101,101,DEMO-0101,Demo Patike 101,Patike,Patike premium,DemoRun,41,Plava,Tekstil,1,6,1,2900.00,339300.00,4495.00,5220.00,True,2026-06-03T02:00:00Z,3,3,access
102,102,DEMO-0102,Demo Sandale 102,Sandale,Sandale premium,DemoWalk,42,Siva,Koza,2,6,2,3000.00,351000.00,4650.00,5400.00,True,2026-06-03T02:00:00Z,4,3,access
103,103,DEMO-0103,Demo Cizme 103,Cizme,Cizme premium,DemoWarm,43,Crvena,Nabuk,3,6,3,3100.00,362700.00,4805.00,5580.00,True,2026-06-03T02:00:00Z,5,3,access
104,104,DEMO-0104,Demo Odeca 104,Odeca,Odeca premium,DemoStyle,44,Zelena,Pamuk,4,6,4,3200.00,374400.00,4960.00,5760.00,True,2026-06-03T02:00:00Z,6,3,access
105,105,DEMO-0105,Demo Patike 105,Patike,Patike premium,DemoRun,38,Crna,Tekstil,1,6,1,2800.00,327600.00,4340.00,5040.00,True,2026-06-03T02:00:00Z,2,3,access
106,106,DEMO-0106,Demo Sandale 106,Sandale,Sandale premium,DemoWalk,39,Bela,Koza,2,6,2,2900.00,339300.00,4495.00,5220.00,True,2026-06-03T02:00:00Z,3,3,access
107,107,DEMO-0107,Demo Cizme 107,Cizme,Cizme premium,DemoWarm,40,Braon,Nabuk,3,6,3,3000.00,351000.00,4650.00,5400.00,True,2026-06-03T02:00:00Z,4,3,access
108,108,DEMO-0108,Demo Odeca 108,Odeca,Odeca premium,DemoStyle,41,Plava,Pamuk,4,6,4,3100.00,362700.00,4805.00,5580.00,True,2026-06-03T02:00:00Z,5,3,access
109,109,DEMO-0109,Demo Patike 109,Patike,Patike premium,DemoRun,42,Siva,Tekstil,1,6,1,3200.00,374400.00,4960.00,5760.00,True,2026-06-03T02:00:00Z,6,3,access
110,110,DEMO-0110,Demo Sandale 110,Sandale,Sandale premium,DemoWalk,43,Crvena,Koza,2,6,2,2800.00,327600.00,4340.00,5040.00,True,2026-06-03T02:00:00Z,2,3,access
111,111,DEMO-0111,Demo Cizme 111,Cizme,Cizme premium,DemoWarm,44,Zelena,Nabuk,3,,3,0.00,0.00,0.00,0.00,True,2026-06-03T02:00:00Z,0,2,access
112,112,DEMO-0112,Demo Odeca 112,Odeca,Odeca premium,DemoStyle,38,Crna,Pamuk,4,,4,0.00,0.00,0.00,0.00,True,2026-06-03T02:00:00Z,1,2,access
113,113,DEMO-0113,Demo Patike 113,Patike,Patike premium,DemoRun,39,Bela,Tekstil,1,,1,0.00,0.00,0.00,0.00,True,2026-06-03T02:00:00Z,2,2,access
114,114,DEMO-0114,Demo Sandale 114,Sandale,Sandale premium,DemoWalk,40,Braon,Koza,2,,2,0.00,0.00,0.00,0.00,True,2026-06-03T02:00:00Z,0,2,access
115,115,DEMO-0115,Demo  115,,,DemoStyle,41,Plava,,,7,3,0.00,0.00,0.00,0.00,True,2026-06-03T02:00:00Z,1,2,access
116,116,DEMO-0116,Demo  116,,,DemoStyle,42,Siva,,,7,4,0.00,0.00,0.00,0.00,True,2026-06-03T02:00:00Z,2,2,access
117,117,DEMO-0117,Demo  117,,,DemoStyle,43,Crvena,,,7,1,0.00,0.00,0.00,0.00,True,2026-06-03T02:00:00Z,0,2,access
118,118,DEMO-0118,Demo  118,,,DemoStyle,44,Zelena,,,7,2,0.00,0.00,0.00,0.00,True,2026-06-03T02:00:00Z,1,2,access
119,119,DEMO-0118,Demo Cizme 119,Cizme,Cizme premium,DemoWarm,38,Crna,Nabuk,3,7,3,0.00,0.00,0.00,0.00,True,2026-06-03T02:00:00Z,2,2,access
120,120,DEMO-0118,Demo Odeca 120,Odeca,Odeca premium,DemoStyle,39,Bela,Pamuk,4,7,4,0.00,0.00,0.00,0.00,True,2026-06-03T02:00:00Z,0,2,access
